#introduction

introduction,i-xiii
Package Manager|Search Locally for Packages,53
installing|packages,52-54
cURL,52
enabling|cURL,52
troubleshooting|Package Manager and cURL
downloading transport packages,53
transport packages|downloading,53
transport packages|installing,54
installing|transport packages,54
transport packages|uninstalling,54-55
transport packages|removing,54-55
removing|transport packages,54-55
transport packages|updating,54
updating transport packages,54
FURLs,55-61
Friendly URLs,55-61
SEO-friendly URLs,55-61
system settings|FURLs,55-61
index.php file|MODX,56
MODX|index.php file,56
files|index.php (MODX),56
FURLs|prefixes,57
FURLs|suffixes,57
prefixes for FURLs,57
suffixes for FURLs,57
container_suffix system setting,57
system settings|container_suffix,57
friendly alias path,57
FURLs|friendly alias path,57
friendly aliases,58
FURLs|friendly aliases,58
.htaccess file|configuring for FURLs,59
configuring .htaccess file for FURLS,59
.htaccess file|Furls and,59
.htaccess file,59-60
public_html directory,59
directories|public_html,59
.htaccess file|renaming,59
renaming|.htaccess file,59
troubleshooting|FURLs and mod_rewrite
mod_rewrite,60
enabling|mod_rewrite,60
XAMPP|mod_rewrite,60
httpd.conf file,60
files|httpd.conf,60
Apache httpd.conf file,60
files|Apache httpd.conf,60
RewriteBase,60
FURLs|RewriteBase,60
.htaccess file|RewriteBase,60
FURLs|testing,60
index.php file|MODX,61
MODX|index.php file,61
files|index.php (MODX),61
installing MODX|localhost,62-64
installing MODX|XAMPP,62-64
XAMPP|downloading,62
XAMPP|installing,62
PHPMyAdmin|accessing,63
Apache Friends,62
default collation,63
utf-8,63
uft8_unicode_ci,63
character set,63
XAMPP|file locations,63
files|XAMPP,63
htdocs directory,63
directories|XAMPP,63
directories|htdocs,63
moving local site to remote server,64-70
transfer local site to remote server,64-70
clearing MODX,65
cache|clearing,65
site cache (clearing),65
site|Clear Cache,65
MODX|moving site,64-70
database|dumping,65-66
dumping database,65-66
database|exporting,65-66
database|importing,65-66
PHPMyAdmin|exporting database,65-66
PHPMyAdmin|importing database,65-66
PhpMyAdmin|File Download dialog,65-66
dialogs|PhpMyAdmin File Download,65-66
setting|file and directory permissions,69
file and directory permissions,69
files|setting permissions,69
upgrade install,69
installing MODX|upgrade,69
upgrading MODX,69
MODX|upgrading,69
installing MODX|development version,70-75
development version of MODX,70-75
MODX|development version,70-75
GitHub,70-75
Git|branches,70-72
branches (Git),70-72
Git|master branch,71
master branch (Git),71
Git|develop branch,71
develop branch (Git),71
Git|commits,71
commits (Git),71
Git|HEAD,71
HEAD,71
Git|SHA1,71
SHA1,71
Git|hotfix branch,71
hotfix branch (Git),71
Git|feature branches,71
feature branches (Git),71
Git|release branches,72
release branches (Git),72
Git|Revolution repository,72
Git|switching branches,72
switching branches (Git),72
Git|client,72
version control,72-73
mysysgit,73
Git|Bash,73
Git|GUI,73
command-line client for Git,73
Git|installing,73
installing|Git,73
cloning MODX development version,73-75
Git|cloning MODX development version,73-75
contributing to MODX development,75-89
MODX|contributing to development,75-89
Git|workflow,83-86
workflow with Git,83-86
